customer_id,property_id,city,star_rating,booking_date,check_in_date,check_out_date,room_type,num_rooms_booked,stay_type,booking_channel,booking_value,costprice,markup,selling_price,payment_method,refund_status,refund_amount,channel_of_booking,booking_status,travel_date,cashback,coupon_redeem,Coupon USed?
492,3,San Francisco,4,01-04-2024,24-05-2024,26-05-2024,Standard,1,Leisure,Mobile App,19361,19361,5981,25342,PayPal,Yes,369.6489946,Web,Confirmed,04-03-2024,5.374693961,0,No
180,3,Dallas,3,01-04-2024,10-05-2024,17-05-2024,Deluxe,1,Leisure,Mobile App,6137,6137,1896,8033,Bank Transfer,Yes,492.505903,Web,Confirmed,19-07-2024,7.161032605,0,No
50,5,Dallas,3,01-04-2024,31-05-2024,05-06-2024,Deluxe,1,Business,Web,22702,22702,7013,29715,Debit Card,Yes,0,iOS,Confirmed,22-03-2024,0,0,No
294,3,Orlando,4,01-04-2024,18-04-2024,24-04-2024,Deluxe,3,Leisure,Web,34068,34068,10524,44592,Bank Transfer,Yes,545.5415163,Android,Confirmed,24-11-2024,7.932170076,24.5004415,Yes
40,5,Seattle,5,01-04-2024,,,Deluxe,1,Leisure,Mobile App,12127,12127,3746,15873,Debit Card,Yes,211.3676019,Web,Cancelled,02-03-2024,0,0,No
50,3,New York,2,01-04-2024,18-04-2024,21-04-2024,Standard,1,Leisure,Web,4452,37704,11647,49351,Credit Card,Yes,585.9048548,Web,Confirmed,22-12-2024,8.519052753,27.08844078,Yes
415,7,Los Angeles,4,01-04-2024,11-04-2024,14-04-2024,Deluxe,1,Leisure,Web,8429,8429,2604,11033,PayPal,Yes,111.449291,Android,Confirmed,02-03-2024,0,0,No
336,1,Dallas,4,01-04-2024,,,Suite,1,Leisure,Travel Agent,10414,10414,3217,13631,Credit Card,Yes,180.1193334,Web,Cancelled,19-11-2024,2.618933929,4.123233708,Yes
461,3,San Francisco,4,01-04-2024,12-05-2024,14-05-2024,Standard,1,Business,Mobile App,15064,15064,4654,19718,Credit Card,No,0,Android,Failed,03-03-2024,1.776184721,0,No
5,5,Los Angeles,5,01-04-2024,15-04-2024,19-04-2024,Deluxe,1,Leisure,Web,17396,17396,5374,22770,Bank Transfer,Yes,155.6501024,Web,Confirmed,28-03-2024,0,0,No
463,5,Orlando,3,01-04-2024,24-04-2024,30-04-2024,Standard,1,Business,Web,21845,21845,6748,28593,Debit Card,No,0,Web,Confirmed,22-03-2024,0,0,No
448,7,Boston,3,01-04-2024,29-05-2024,30-05-2024,Standard,1,Leisure,Web,30804,30804,9515,40319,Bank Transfer,Yes,534.3023604,Android,Confirmed,10-03-2024,0,0,No
497,3,Miami,3,01-04-2024,13-05-2024,15-05-2024,Standard,1,Leisure,Web,10158,10158,3138,13296,Debit Card,Yes,613.7492657,Web,Confirmed,22-08-2024,8.923910304,22.47262229,Yes
271,7,San Francisco,5,01-04-2024,14-05-2024,18-05-2024,Standard,2,Leisure,Web,34076,34076,10526,44602,Debit Card,Yes,442.7009385,Android,Confirmed,17-07-2024,0,0,No
493,5,Los Angeles,2,01-04-2024,02-05-2024,08-05-2024,Deluxe,1,Leisure,Mobile App,30645,30645,9466,40111,Credit Card,No,0,Web,Confirmed,30-03-2024,0,0,No
269,5,New York,4,01-04-2024,12-05-2024,16-05-2024,Standard,1,Business,Web,12963,12963,4005,16968,Bank Transfer,Yes,278.9459413,iOS,Failed,20-10-2024,0,13.08562943,Yes
179,3,Orlando,4,01-04-2024,17-05-2024,21-05-2024,Standard,2,Business,Mobile App,24554,24554,7585,32139,Credit Card,Yes,493.3679224,Web,Confirmed,16-03-2024,7.173566361,0,No
267,5,Orlando,3,01-04-2024,03-05-2024,10-05-2024,Standard,1,Business,Mobile App,9885,9885,3054,12939,Bank Transfer,Yes,81.47770028,Android,Confirmed,10-03-2024,0,0,No
12,3,Boston,4,01-04-2024,27-05-2024,29-05-2024,Standard,1,Leisure,Mobile App,21976,21976,6789,28765,Debit Card,Yes,455.3935384,Android,Confirmed,03-03-2024,6.621419066,0,No
119,5,Dallas,3,01-04-2024,19-05-2024,22-05-2024,Standard,1,Business,Web,20040,20040,6191,26231,Debit Card,Yes,428.2751871,Web,Confirmed,22-03-2024,0,0,No
